min treshold is :0.0050

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
3	0,75 	1 	
4	0,4 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.13000000000000003

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,6 	
2	0,25 	0,25 	
3	0,5 	0,75 	
4	0,4 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0,36 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,33 	0,5 	
2	0,17 	0,17 	
3	0,43 	0,57 	
4	0,4 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,6 	
2	0,25 	0,25 	
3	0,75 	1 	
4	0,4 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.13500000000000004

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,6 	
2	0,25 	0,25 	
3	0,5 	0,75 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0,36 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,33 	0,5 	
2	0,17 	0,17 	
3	0,43 	0,57 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,6 	
2	0,25 	0,25 	
3	0,75 	1 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.14000000000000004

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,6 	
2	0,25 	0,25 	
3	0,5 	0,75 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0,36 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,33 	0,5 	
2	0,17 	0,17 	
3	0,43 	0,57 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,4 	0,6 	
2	0,25 	0,25 	
3	0,75 	1 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.14500000000000005

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,5 	0,75 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,43 	0,57 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	1 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.15000000000000005

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,5 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,43 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.15500000000000005

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,5 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,43 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.16000000000000006

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,5 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,43 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.16500000000000006

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.17000000000000007

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.17500000000000007

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.18000000000000008

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.18500000000000008

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.19000000000000009

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	

min treshold is :0.1950000000000001

mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	


mesaure :COVERAGE
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	0,75 	0,5 	
4	0,6 	0,6 	
5	0,3 	0,3 	
6	0,43 	0,43 	
7	0 	0 	
8	0,33 	0,33 	
9	0,45 	0,45 	
10	0,33 	0,33 	
mesaure :RECALL
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,5 	0,5 	
2	0,17 	0,17 	
3	0,57 	0,43 	
4	0,6 	0,6 	
5	0,29 	0,29 	
6	0,44 	0,44 	
7	0,32 	0,32 	
8	0,5 	0,5 	
9	0,39 	0,39 	
10	0,24 	0,24 	
mesaure :PRECISION
id	WeightsBasedSummarizer-TFIDF	WeightsBasedSummarizer-BM_25	
1	0,6 	0,6 	
2	0,25 	0,25 	
3	1 	0,75 	
4	0,6 	0,6 	
5	0,4 	0,4 	
6	0,57 	0,57 	
7	0,55 	0,55 	
8	0,67 	0,67 	
9	0,64 	0,64 	
10	0,33 	0,33 	


